                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.42025,                0.77144,                0.33532,                0.99709,                0.99746,                0.88136,                0.94258,                0.78725,                0.99746,                0.88136,                0.94106,                0.73594,                0.60143,                 1.4841,                0.58336,                 1.0334,               0.000713,               0.000713,               0.000713
                     67,                0.41223,                0.76023,                0.34064,                0.99321,                0.99328,                0.89831,                0.91859,                0.75895,                      1,                 0.8791,                0.90646,                0.71015,                0.60205,                 1.6931,                0.56115,                 1.0578,              0.0006932,              0.0006932,              0.0006932
                     68,                0.45528,                0.77389,                0.35671,                 1.0045,                      1,                0.89807,                0.91089,                0.76781,                0.98113,                0.88123,                  0.898,                0.71518,                0.57822,                 1.6838,                0.50202,                 1.0444,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.4223,                0.71123,                0.34615,                0.98562,                      1,                0.89516,                  0.911,                0.78719,                0.98106,                0.87822,                0.89736,                0.73146,                0.56186,                 1.5617,                0.47282,                 1.0059,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.4191,                0.69366,                0.31766,                0.99212,                0.97955,                0.89831,                0.92142,                0.79206,                0.98072,                0.86441,                0.90982,                0.76038,                0.55878,                 1.3904,                0.52867,                 1.0254,              0.0006338,              0.0006338,              0.0006338
                     71,                0.41036,                0.72922,                0.31242,                0.97822,                0.99826,                0.88136,                0.93055,                 0.7894,                 0.9799,                0.86441,                0.92221,                0.74992,                0.59954,                 1.4497,                0.51886,                 1.0923,               0.000614,               0.000614,               0.000614
                     72,                0.43066,                0.73691,                0.34062,                0.99773,                      1,                 0.8982,                0.93043,                0.78412,                0.98113,                0.88132,                0.91677,                0.72291,                0.56686,                  1.619,                0.49642,                 1.0889,              0.0005942,              0.0005942,              0.0005942
                     73,                0.43764,                0.69423,                0.33506,                0.99984,                0.99486,                0.88136,                0.90832,                 0.7503,                0.97559,                0.86441,                0.89809,                 0.7097,                0.58221,                 1.7005,                0.62458,                 1.0664,              0.0005744,              0.0005744,              0.0005744
                     74,                0.42965,                0.70559,                0.32566,                0.99536,                0.97933,                0.88136,                0.90504,                0.75761,                0.96042,                0.86441,                0.89348,                0.69865,                0.62294,                 1.6236,                0.77861,                 1.1038,              0.0005546,              0.0005546,              0.0005546
                     75,                0.42638,                0.66407,                 0.3212,                0.98775,                0.96361,                0.89764,                0.91434,                0.77225,                0.94542,                0.88078,                0.90169,                0.71415,                0.55006,                 1.4799,                0.69618,                  1.055,              0.0005348,              0.0005348,              0.0005348
                     76,                0.44297,                0.74472,                0.33541,                0.98564,                0.94539,                0.89831,                0.92092,                0.79299,                0.92733,                0.88136,                0.91296,                 0.7307,                0.51751,                 1.4775,                 0.6618,                 1.0105,               0.000515,               0.000515,               0.000515
                     77,                0.40382,                0.61673,                0.31486,                0.98485,                 0.9795,                0.89831,                0.93043,                0.80644,                0.96094,                0.88136,                0.92007,                0.74252,                0.50837,                 1.5823,                0.67612,                0.97865,              0.0004952,              0.0004952,              0.0004952
                     78,                0.39901,                0.65106,                 0.2996,                0.97656,                0.99706,                0.89831,                0.92909,                0.79694,                0.97814,                0.88136,                0.91893,                 0.7237,                 0.5379,                 1.6137,                0.68666,                0.99456,              0.0004754,              0.0004754,              0.0004754
                     79,                0.39461,                0.65027,                0.30098,                0.97268,                0.97581,                0.89831,                 0.9258,                 0.8047,                0.98053,                0.86441,                0.91773,                0.72938,                0.54311,                 1.5598,                0.63453,                  1.057,              0.0004556,              0.0004556,              0.0004556
