                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.53403,                0.87533,                0.47978,                0.98321,                0.94924,                0.89831,                0.91273,                0.74649,                0.96036,                0.91525,                0.91357,                0.71723,                0.66136,                 1.5313,                0.62768,                 1.0692,              0.0008516,              0.0008516,              0.0008516
                     60,                0.51825,                0.92216,                0.45328,                0.98825,                0.94639,                0.89759,                0.91264,                0.78928,                0.94639,                0.89759,                0.91264,                0.71452,                0.60622,                 1.5865,                 0.6299,                0.96815,              0.0008318,              0.0008318,              0.0008318
                     61,                0.52796,                0.92159,                0.46748,                0.96964,                      1,                0.85861,                0.89484,                0.76809,                      1,                0.85861,                0.91187,                0.70865,                0.60783,                 1.6921,                0.62911,                0.97695,               0.000812,               0.000812,               0.000812
                     62,                0.50174,                0.89498,                0.43728,                 0.9697,                0.97959,                0.89831,                0.89482,                0.75934,                0.97959,                0.89831,                0.91394,                 0.7097,                0.65781,                 1.5392,                0.60219,                  1.017,              0.0007922,              0.0007922,              0.0007922
                     63,                0.53113,                0.88882,                0.42998,                0.98475,                0.97484,                0.89831,                0.89702,                0.72888,                0.97484,                0.89831,                 0.9158,                0.69821,                0.74826,                 1.5334,                0.63366,                 1.1424,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.5225,                0.94723,                0.44073,                0.98234,                0.96326,                0.88871,                0.91132,                0.74325,                0.92153,                0.89831,                0.92678,                0.70155,                0.70416,                 1.5727,                0.56215,                 1.1409,              0.0007526,              0.0007526,              0.0007526
                     65,                0.48619,                0.81381,                0.43387,                0.96567,                0.94559,                0.91525,                0.91973,                0.76181,                0.96319,                 0.9322,                0.93794,                0.70423,                0.67468,                 1.4887,                0.50478,                 1.0891,              0.0007328,              0.0007328,              0.0007328
                     66,                0.47683,                0.79611,                0.41587,                0.95532,                0.96482,                0.92971,                0.94238,                0.75774,                0.94724,                0.91287,                0.93411,                0.70515,                0.66208,                 1.4694,                0.51367,                  1.054,               0.000713,               0.000713,               0.000713
                     67,                0.47829,                  0.855,                0.40354,                0.95503,                 0.9558,                0.89831,                0.94318,                0.76585,                0.97611,                0.86441,                0.93076,                 0.7105,                0.62686,                 1.4381,                0.50536,                 1.0308,              0.0006932,              0.0006932,              0.0006932
                     68,                0.49876,                0.85366,                0.41337,                 0.9717,                0.93207,                 0.9302,                0.94228,                0.77441,                0.93207,                 0.9302,                0.94228,                0.72587,                0.67119,                 1.4076,                0.52605,                  1.053,              0.0006734,              0.0006734,              0.0006734
                     69,                0.46323,                0.80036,                0.40891,                0.96178,                0.95858,                0.86441,                0.90653,                0.75952,                0.94456,                0.86638,                0.93025,                0.71657,                0.63383,                  1.469,                0.56529,                 1.0311,              0.0006536,              0.0006536,              0.0006536
                     70,                0.48631,                 0.8137,                0.39913,                0.97754,                0.92527,                0.88136,                0.89922,                0.74639,                0.94696,                0.83051,                0.89983,                0.71666,                  0.608,                 1.5447,                0.57676,                 1.0273,              0.0006338,              0.0006338,              0.0006338
                     71,                0.46947,                0.82621,                0.38582,                0.95504,                0.92839,                0.87895,                0.89577,                0.76737,                0.98191,                0.84746,                0.89633,                0.71479,                0.60619,                  1.563,                0.60861,                 1.0159,               0.000614,               0.000614,               0.000614
                     72,                 0.4795,                0.82037,                0.40435,                0.96265,                0.94947,                0.88136,                0.89787,                0.77401,                0.98523,                0.83051,                0.90746,                0.71282,                0.59113,                 1.5515,                 0.6012,                0.98258,              0.0005942,              0.0005942,              0.0005942
                     73,                0.46073,                0.78642,                0.38485,                0.95435,                0.98082,                0.86699,                0.91499,                 0.7889,                0.98082,                0.86699,                0.91533,                0.72425,                0.59557,                 1.4242,                0.55018,                0.96985,              0.0005744,              0.0005744,              0.0005744
