                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.04442,                0.85789,                      1,                0.44909,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 0.0575,                0.85263,                      1,                0.44902,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.05445,                0.85789,                      1,                0.44713,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.04669,                0.84737,                      1,                0.46073,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 0.0404,                0.86316,                      1,                0.44661,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.05645,                0.87368,                      1,                0.44729,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 0.0458,                0.87368,                      1,                0.44598,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.03114,                0.86316,                      1,                0.45058,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 0.0643,                0.86316,                      1,                0.44731,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 0.0507,                0.86316,                      1,                0.44948,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.04165,                0.85263,                      1,                0.45676,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.03701,                0.84211,                      1,                0.45571,             1.4209e-05,             1.4209e-05,             1.4209e-05
